country,Code,co2_year,co2_per_capita,life_year,life_expectancy
Nauru,NRU,2024,5.129512,2023,62.1094
Nepal,NPL,2024,0.6332349,2023,70.3537
Netherlands,NLD,2024,6.29691,2023,82.1576
New Caledonia,NCL,2024,18.0644,2023,78.7658
New Zealand,NZL,2024,6.229343,2023,82.088
Nicaragua,NIC,2024,0.8140884,2023,74.9468
Niger,NER,2024,0.11726506,2023,61.1833
Nigeria,NGA,2024,0.5837386,2023,54.4623
North Korea,PRK,2024,2.3604918,2023,73.6418
North Macedonia,MKD,2024,3.6311553,2023,77.3947
Norway,NOR,2024,6.667616,2023,83.3078
Oman,OMN,2024,15.651107,2023,80.0305
Pakistan,PAK,2024,0.71556884,2023,67.649
Palau,PLW,2024,12.760258,2023,69.269
Palestine,PSE,2024,0.86981934,2023,65.1703
Panama,PAN,2024,2.8046095,2023,79.5937
Papua New Guinea,PNG,2024,0.7890545,2023,66.134
Paraguay,PRY,2024,1.1454097,2023,73.8443
Peru,PER,2024,2.0529242,2023,77.7401
Philippines,PHL,2024,1.5096035,2023,69.8327
Poland,POL,2024,7.0801096,2023,78.6329
Portugal,PRT,2024,3.4089074,2023,82.3599
Qatar,QAT,2024,41.27118,2023,82.368
Romania,ROU,2024,3.605104,2023,75.9381
Russia,RUS,2024,12.294705,2023,73.1541
Rwanda,RWA,2024,0.14263947,2023,67.7852
Saint Kitts and Nevis,KNA,2024,5.542429,2023,72.1447
Saint Lucia,LCA,2024,2.9869597,2023,72.6968
Saint Vincent and the Grenadines,VCT,2024,2.5405643,2023,71.2301
Samoa,WSM,2024,1.1263857,2023,71.6982
Sao Tome and Principe,STP,2024,0.6019113,2023,69.7182
Saudi Arabia,SAU,2024,20.379194,2023,78.7321
Senegal,SEN,2024,0.76163954,2023,68.6829
Serbia,SRB,2024,6.237839,2023,76.7693
Seychelles,SYC,2024,5.002998,2023,72.862
Sierra Leone,SLE,2024,0.165966,2023,61.7858
Singapore,SGP,2024,9.244836,2023,83.7362
Slovakia,SVK,2024,5.282773,2023,78.3414
Slovenia,SVN,2024,6.0184274,2023,81.6034
Solomon Islands,SLB,2024,0.3596751,2023,70.5277
Somalia,SOM,2024,0.06939735,2023,58.8158
South Africa,ZAF,2024,6.8715796,2023,66.1387
South Korea,KOR,2024,11.285893,2023,84.3288
South Sudan,SSD,2024,0.14196548,2023,57.6174
Spain,ESP,2024,4.599015,2023,83.6703
Sri Lanka,LKA,2024,0.90139973,2023,77.4828
Sudan,SDN,2024,0.35272878,2023,66.331
Suriname,SUR,2024,4.7093143,2023,73.631
Sweden,SWE,2024,3.5916543,2023,83.2624
Switzerland,CHE,2024,3.5946856,2023,83.9536
Syria,SYR,2024,1.2879974,2023,72.1201
Taiwan,TWN,2024,11.301164,2023,80.5588
Tajikistan,TJK,2024,1.0140533,2023,71.7901
Tanzania,TZA,2024,0.29198244,2023,66.9953
Thailand,THA,2024,3.7361188,2023,76.4115
Togo,TGO,2024,0.28938687,2023,62.7387
Tonga,TON,2024,1.464028,2023,72.8947
Trinidad and Tobago,TTO,2024,22.931944,2023,73.4896
Tunisia,TUN,2024,2.6605377,2023,76.5077
Turkey,TUR,2024,5.865009,2023,77.1557
Turkmenistan,TKM,2024,10.808675,2023,70.0727
Tuvalu,TUV,2024,1.1831627,2023,67.1049
Uganda,UGA,2024,0.12663798,2023,68.2523
Ukraine,UKR,2024,3.7637882,2023,73.4225
United Arab Emirates,ARE,2024,20.131075,2023,82.9091
United Kingdom,GBR,2024,4.5257993,2023,81.3015
United States,USA,2024,14.197287,2023,79.3043
Uruguay,URY,2024,2.35437,2023,78.1385
Uzbekistan,UZB,2024,3.829127,2023,72.3884
Vanuatu,VUT,2024,0.6012429,2023,71.4769
Venezuela,VEN,2024,4.085203,2023,72.5142
Vietnam,VNM,2024,3.6730351,2023,74.5883
Yemen,YEM,2024,0.24944058,2023,69.2952
Zambia,ZMB,2024,0.5650162,2023,66.3487
Zimbabwe,ZWE,2024,0.82366556,2023,62.7748
