Entity,Code,Year,Per capita energy consumption
Tunisia,TUN,2022,10087.191
Turkey,TUR,2022,22617.557
Turkmenistan,TKM,2022,65250.055
Tuvalu,TUV,2022,0
Uganda,UGA,2022,663.2023
Ukraine,UKR,2022,15074.283
United Arab Emirates,ARE,2022,132096.89
United Kingdom,GBR,2022,29480.258
United States,USA,2022,77627.72
Uruguay,URY,2022,13986.177
Uzbekistan,UZB,2022,16958.777
Vanuatu,VUT,2022,3666.6138
Venezuela,VEN,2022,22898.904
Vietnam,VNM,2022,12976.387
Western Sahara,ESH,2022,1987.7819
Yemen,YEM,2022,893.9548
Zambia,ZMB,2022,1986.8015
Zimbabwe,ZWE,2022,3633.0674
